season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2022,NBA,Denver Nuggets,DEN,True,82.0,19805.0,3367.0,7168.0,0.47,971.0,2806.0,0.346,2396.0,4362.0,0.549,1349.0,1783.0,0.757,795.0,2680.0,3475.0,2082.0,649.0,392.0,1051.0,1632.0,9054.0
2022,NBA,Detroit Pistons,DET,False,82.0,19780.0,3333.0,7051.0,0.473,966.0,2668.0,0.362,2367.0,4383.0,0.54,1597.0,2056.0,0.777,847.0,2946.0,3793.0,2061.0,606.0,427.0,1197.0,1625.0,9229.0
2022,NBA,Golden State Warriors,GSW,True,82.0,19730.0,3111.0,7098.0,0.438,1000.0,2948.0,0.339,2111.0,4150.0,0.509,1426.0,1880.0,0.759,792.0,2705.0,3497.0,1875.0,649.0,317.0,1189.0,1474.0,8648.0
2022,NBA,Houston Rockets,HOU,False,82.0,19755.0,3562.0,7374.0,0.483,1048.0,2966.0,0.353,2514.0,4408.0,0.57,1520.0,1943.0,0.782,915.0,2831.0,3746.0,2103.0,776.0,474.0,1155.0,1812.0,9692.0
2022,NBA,Indiana Pacers,IND,False,82.0,19880.0,3485.0,7212.0,0.483,985.0,2645.0,0.372,2500.0,4567.0,0.547,1470.0,1845.0,0.797,833.0,2702.0,3535.0,2058.0,664.0,401.0,1087.0,1575.0,9425.0
2022,NBA,Los Angeles Clippers,LAC,False,82.0,19780.0,3343.0,7432.0,0.45,958.0,2780.0,0.345,2385.0,4652.0,0.513,1244.0,1606.0,0.775,984.0,2881.0,3865.0,1975.0,631.0,339.0,1113.0,1515.0,8888.0
2022,NBA,Los Angeles Lakers,LAL,False,82.0,19980.0,3491.0,7424.0,0.47,1032.0,2935.0,0.352,2459.0,4489.0,0.548,1428.0,1911.0,0.747,902.0,2920.0,3822.0,2154.0,684.0,338.0,1152.0,1647.0,9442.0
2022,NBA,Memphis Grizzlies,MEM,True,82.0,19780.0,3305.0,7269.0,0.455,987.0,2828.0,0.349,2318.0,4441.0,0.522,1417.0,1837.0,0.771,821.0,2706.0,3527.0,2047.0,588.0,496.0,1235.0,1625.0,9014.0
2022,NBA,Miami Heat,MIA,True,82.0,19855.0,3078.0,6886.0,0.447,1064.0,3138.0,0.339,2014.0,3748.0,0.537,1437.0,1845.0,0.779,783.0,2634.0,3417.0,1908.0,608.0,330.0,1228.0,1686.0,8657.0
2022,NBA,Milwaukee Bucks,MIL,True,82.0,19755.0,3391.0,7431.0,0.456,1186.0,3328.0,0.356,2205.0,4103.0,0.537,1227.0,1634.0,0.751,812.0,2805.0,3617.0,2122.0,606.0,357.0,1070.0,1612.0,9195.0
