season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
2024,NBA,Jerami Grant,grantje01,29,POR,PF,54,54.0,1830,10.3,22.9,0.451,3.0,7.4,0.402,7.3,15.5,0.474,0.516,6.9,8.4,0.817,1.0,4.2,5.2,4.1,1.2,0.9,3.1,3.2,30.5,113.0,120.0
2024,NBA,RaiQuan Gray,grayra01,24,SAS,PF,3,0.0,39,12.2,20.7,0.588,3.7,8.5,0.429,8.5,12.2,0.7,0.676,0.0,0.0,,2.4,6.1,8.5,7.3,1.2,1.2,1.2,0.0,28.0,136.0,117.0
2024,NBA,A.J. Green,greenaj01,24,MIL,SG,56,0.0,614,6.5,15.3,0.423,5.4,13.2,0.408,1.1,2.1,0.519,0.599,1.3,1.5,0.895,0.7,4.3,5.0,2.3,0.7,0.3,0.9,3.8,19.7,122.0,120.0
2024,NBA,Danny Green,greenda02,36,PHI,SG,2,0.0,18,0.0,5.5,0.0,0.0,2.7,0.0,0.0,2.7,0.0,0.0,0.0,0.0,,0.0,5.5,5.5,2.7,2.7,0.0,0.0,2.7,0.0,33.0,114.0
2024,NBA,Draymond Green,greendr01,33,GSW,PF,55,52.0,1490,6.0,12.1,0.497,1.7,4.2,0.395,4.4,7.9,0.551,0.566,1.8,2.4,0.73,2.5,10.5,12.9,10.8,1.8,1.5,4.4,5.4,15.4,116.0,112.0
2024,NBA,Javonte Green,greenja02,30,CHI,SF,9,5.0,230,9.8,16.3,0.6,2.2,5.9,0.37,7.6,10.4,0.729,0.667,2.2,2.8,0.769,4.3,10.2,14.5,1.1,2.2,1.7,1.5,4.1,23.8,132.0,112.0
2024,NBA,Jalen Green,greenja05,21,HOU,SG,82,82.0,2601,10.5,24.8,0.423,3.7,11.3,0.332,6.8,13.6,0.498,0.498,5.3,6.6,0.804,0.8,7.1,7.9,5.4,1.2,0.5,3.6,2.1,30.0,107.0,115.0
2024,NBA,Jeff Green,greenje02,37,HOU,PF,78,6.0,1307,6.2,13.6,0.456,2.0,5.9,0.331,4.2,7.6,0.553,0.529,4.5,5.5,0.819,1.7,4.9,6.6,2.6,0.6,1.2,1.7,3.7,18.9,119.0,117.0
2024,NBA,Josh Green,greenjo02,23,DAL,SG,57,33.0,1505,5.7,11.9,0.479,2.3,6.0,0.385,3.4,6.0,0.572,0.575,1.2,1.8,0.684,1.3,4.6,5.9,4.1,1.5,0.3,1.9,3.4,15.0,115.0,117.0
2024,NBA,AJ Griffin,griffaj01,20,ATL,SF,20,0.0,171,5.0,17.4,0.29,2.8,10.9,0.256,2.2,6.5,0.348,0.371,0.6,0.6,1.0,0.6,4.5,5.0,1.4,0.3,0.6,2.2,1.7,13.5,77.0,124.0
