season,lg,team,abbreviation,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,arena,attend,attend_g
2023,NBA,Utah Jazz,UTA,False,26.5,37.0,45.0,39.0,43.0,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,0.547,13.3,26.8,0.209,0.541,10.9,75.2,0.205,Vivint Arena,728240.0,17762.0
2023,NBA,Washington Wizards,WAS,False,26.2,35.0,47.0,38.0,44.0,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,0.55,12.7,22.6,0.202,0.54,11.0,76.1,0.194,Capital One Arena,710481.0,17329.0
2023,NBA,League Average,,False,26.3,,,41.0,41.0,0.0,0.0,0.0,114.8,114.8,,99.1,0.266,0.387,0.581,0.545,12.5,24.0,0.208,0.545,12.5,76.0,0.208,,739895.0,18008.0
2022,NBA,Atlanta Hawks,ATL,True,26.1,43.0,39.0,45.0,37.0,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23.0,0.205,0.543,11.5,76.9,0.177,State Farm Arena,672742.0,16408.0
2022,NBA,Boston Celtics,BOS,True,26.1,51.0,31.0,59.0,23.0,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,0.542,12.4,24.0,0.195,0.502,12.5,77.3,0.183,TD Garden,785396.0,19156.0
2022,NBA,Brooklyn Nets,BRK,True,29.1,44.0,38.0,43.0,39.0,0.78,0.04,0.82,113.6,112.8,0.8,99.0,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,Barclays Center,711539.0,17355.0
2022,NBA,Chicago Bulls,CHI,True,26.3,46.0,36.0,40.0,42.0,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,United Center,856148.0,20882.0
2022,NBA,Charlotte Hornets,CHO,False,25.5,43.0,39.0,42.0,40.0,0.44,0.09,0.53,114.1,113.7,0.4,100.0,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,Spectrum Center,700755.0,17092.0
2022,NBA,Cleveland Cavaliers,CLE,False,24.7,44.0,38.0,47.0,35.0,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,0.538,13.2,24.0,0.198,0.52,12.3,76.5,0.172,Rocket Mortgage Fieldhouse,758228.0,18493.0
2022,NBA,Dallas Mavericks,DAL,True,26.7,52.0,30.0,50.0,32.0,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,0.521,12.2,78.0,0.185,American Airlines Center,808037.0,19708.0
2022,NBA,Denver Nuggets,DEN,True,27.7,48.0,34.0,47.0,35.0,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,Ball Arena,695262.0,16958.0
2022,NBA,Detroit Pistons,DET,False,23.6,23.0,59.0,22.0,60.0,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,Little Caesars Arena,663556.0,16184.0
2022,NBA,Golden State Warriors,GSW,True,27.6,53.0,29.0,55.0,27.0,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,0.509,13.0,78.7,0.201,Chase Center,740624.0,18064.0
