game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0042100143,00,1610612756,PHX,Phoenix,64,13,12,13,15,14,1,6,8,7,1610612740,NOP,New Orleans,40,7,18,7,1,15,8,23
0042100123,00,1610612749,MIL,Milwaukee,46,11,15,37,2,0,1,10,3,7,1610612741,CHI,Chicago,30,6,5,1,0,13,6,16
0042100134,00,1610612755,PHI,Philadelphia,38,7,10,4,8,6,1,16,9,22,1610612761,TOR,Toronto,42,12,21,14,0,11,12,3
0042100113,00,1610612738,BOS,Boston,50,9,25,15,11,2,0,14,4,25,1610612751,BKN,Brooklyn,42,14,9,7,3,21,13,37
0042100154,00,1610612763,MEM,Memphis,50,3,12,7,8,2,2,19,13,19,1610612750,MIN,Minnesota,30,7,9,15,1,16,12,16
0042100104,00,1610612737,ATL,Atlanta,26,10,0,8,10,5,0,15,9,25,1610612748,MIA,Miami,48,26,8,27,1,7,12,10
0042100144,00,1610612740,NOP,New Orleans,54,20,8,18,7,6,1,9,10,10,1610612756,PHX,Phoenix,56,20,6,3,1,13,5,14
0042100124,00,1610612749,MIL,Milwaukee,44,7,19,24,2,2,1,15,5,15,1610612741,CHI,Chicago,36,7,12,3,1,12,3,12
0042100114,00,1610612738,BOS,Boston,44,17,14,15,0,3,0,13,12,18,1610612751,BKN,Brooklyn,32,18,17,0,0,10,8,16
0042100135,00,1610612755,PHI,Philadelphia,36,11,16,2,1,1,1,16,12,20,1610612761,TOR,Toronto,56,4,24,19,1,9,7,9
0042100155,00,1610612763,MEM,Memphis,62,23,19,11,8,4,0,16,11,17,1610612750,MIN,Minnesota,38,6,10,13,1,23,11,23
0042100145,00,1610612740,NOP,New Orleans,40,15,4,0,0,4,0,15,8,23,1610612756,PHX,Phoenix,46,6,10,18,1,10,7,12
0042100105,00,1610612748,MIA,Miami,54,18,6,15,5,6,0,14,14,20,1610612737,ATL,Atlanta,28,13,10,6,0,19,8,14
0042100125,00,1610612749,MIL,Milwaukee,54,10,18,29,2,0,0,16,9,12,1610612741,CHI,Chicago,30,7,13,1,0,16,8,26
