season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2024,NBA,Nic Claxton,claxtni01,24.0,BRK,C,71,71.0,2116,6.2,9.9,0.629,0.0,0.1,0.2,6.2,9.8,0.633,0.63,1.8,3.3,0.551,3.3,8.7,12.0,2.5,0.8,2.5,1.6,3.0,14.3
2024,NBA,Noah Clowney,clownno01,19.0,BRK,PF,23,4.0,370,4.9,9.0,0.538,1.2,3.2,0.364,3.7,5.8,0.633,0.602,2.0,2.9,0.7,2.5,5.4,7.9,1.8,0.8,1.6,1.5,2.4,12.9
2024,NBA,Amir Coffey,coffeam01,26.0,LAC,SF,70,13.0,1460,4.1,8.7,0.472,1.7,4.5,0.38,2.4,4.1,0.571,0.571,1.5,1.8,0.859,0.7,2.9,3.6,1.9,1.0,0.3,0.8,2.5,11.4
2024,NBA,John Collins,collijo01,26.0,UTA,PF,68,66.0,1901,7.5,14.1,0.532,1.6,4.4,0.371,5.9,9.7,0.605,0.59,2.8,3.5,0.795,3.0,7.9,10.9,1.5,0.8,1.2,1.9,3.6,19.4
2024,NBA,Zach Collins,colliza01,26.0,SAS,C,69,29.0,1526,7.0,14.5,0.484,1.4,4.3,0.32,5.7,10.3,0.552,0.531,2.9,3.8,0.753,2.8,5.9,8.7,4.6,0.8,1.2,3.1,4.9,18.3
2024,NBA,Mike Conley,conlemi01,36.0,MIN,PG,76,76.0,2193,4.8,10.6,0.457,2.9,6.6,0.442,1.9,3.9,0.481,0.595,1.7,1.8,0.911,0.6,3.0,3.6,7.4,1.4,0.3,1.7,2.1,14.3
2024,NBA,Pat Connaughton,connapa01,31.0,MIL,SF,76,3.0,1676,3.2,7.5,0.435,1.8,5.1,0.345,1.5,2.3,0.633,0.553,0.9,1.2,0.759,1.1,4.0,5.1,3.5,0.9,0.4,1.1,2.1,9.2
2024,NBA,Bilal Coulibaly,coulibi01,19.0,WAS,SF,63,15.0,1715,3.9,9.1,0.435,1.3,3.9,0.346,2.6,5.2,0.502,0.509,1.9,2.7,0.702,1.2,4.2,5.4,2.3,1.2,1.0,1.8,2.9,11.2
2024,NBA,Ricky Council IV,councri01,22.0,PHI,SG,32,0.0,289,6.7,14.0,0.482,1.5,4.0,0.375,5.2,10.0,0.525,0.536,6.6,8.8,0.746,1.7,4.0,5.7,2.0,1.0,0.1,0.6,2.1,21.6
2024,NBA,Robert Covington,covinro01,33.0,2TM,PF,29,6.0,488,3.2,7.2,0.439,1.4,4.1,0.339,1.8,3.1,0.571,0.536,1.6,1.9,0.846,2.3,4.9,7.2,1.8,2.9,1.3,0.8,4.1,9.4
2024,NBA,Robert Covington,covinro01,33.0,LAC,PF,3,3.0,69,1.6,4.7,0.333,1.0,4.2,0.25,0.5,0.5,1.0,0.444,0.5,1.0,0.5,1.0,3.1,4.2,3.7,3.1,1.0,0.0,3.7,4.7
2024,NBA,Robert Covington,covinro01,33.0,PHI,SF,26,3.0,419,3.4,7.6,0.449,1.5,4.1,0.354,2.0,3.5,0.561,0.545,1.8,2.1,0.875,2.5,5.2,7.6,1.5,2.8,1.4,0.9,4.2,10.1
2024,NBA,Torrey Craig,craigto01,33.0,CHI,SF,53,14.0,1049,3.7,8.6,0.43,2.1,5.3,0.392,1.6,3.4,0.49,0.55,0.9,1.2,0.75,2.4,5.1,7.4,2.0,1.0,0.7,1.1,3.8,10.4
2024,NBA,Jae Crowder,crowdja01,33.0,MIL,PF,50,25.0,1156,3.6,8.4,0.422,1.8,5.2,0.349,1.7,3.2,0.538,0.53,0.8,1.1,0.722,1.0,4.0,5.0,2.1,1.2,0.3,0.7,2.3,9.7
2024,NBA,Jalen Crutcher,crutcja01,24.0,NOP,PG,1,0.0,3,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NBA,Cade Cunningham,cunnica01,22.0,DET,PG,62,62.0,2074,9.1,20.3,0.449,2.1,5.8,0.355,7.0,14.4,0.487,0.5,4.1,4.8,0.869,0.6,4.1,4.7,8.1,1.0,0.4,3.7,2.7,24.4
2024,NBA,Seth Curry,curryse01,33.0,2TM,SG,44,4.0,616,4.7,11.9,0.392,2.2,6.3,0.352,2.5,5.6,0.438,0.485,1.6,1.8,0.903,1.1,2.9,4.0,2.6,1.3,0.4,1.2,2.3,13.2
2024,NBA,Seth Curry,curryse01,33.0,DAL,SG,36,3.0,457,4.3,11.4,0.372,2.3,6.3,0.363,2.0,5.1,0.385,0.472,1.3,1.5,0.895,1.2,2.9,4.1,2.4,1.3,0.2,1.3,2.5,12.1
